Source:,C:\Users\circu\Documents\Toyota Satoshi Emblem\GitHub\Toyota Satoshi Emblem\Toyota Satoshi Emblem.kicad_sch,,,,,,,,
Date:,5/1/2022 17:23,,,,,,,,
Tool:,Eeschema (6.0.0),,,,,,,,
Generator:,C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,
Component Count:,456,,,,,,,,
,,,,,,,,,
Individual Components:,,,,,,,,,
,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,MANUFACTURER,PARTREV,STANDARD
,,A1,LM2596 Buck,asymbols:LM2596_DC-DC_Step_Down_Module,afootprints:LM2596 Buck Converter,,,,
,,A2,LM2596 Buck,:LM2596_DC-DC_Step_Down_Module_2,afootprints:LM2596 Buck Converter,,,,
,,A3,LM2596 Buck,asymbols:LM2596_DC-DC_Step_Down_Module,afootprints:LM2596 Buck Converter,,,,
,,A4,LM2596 Buck,:LM2596_DC-DC_Step_Down_Module_1,afootprints:LM2596 Buck Converter,,,,
,,C1,0.1uF 50V,Device:C,Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P5.00mm,~,,,
,,C2,47uF 50V,Device:C_Polarized,Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm,~,,,
,,C3,10uF,Device:C_Polarized,Capacitor_THT:C_Radial_D4.0mm_H7.0mm_P1.50mm,~,,,
,,C4,470uF,Device:C_Polarized,Capacitor_THT:C_Radial_D8.0mm_H11.5mm_P3.50mm,~,,,
,,C5,470uF,Device:C_Polarized,Capacitor_THT:C_Radial_D8.0mm_H11.5mm_P3.50mm,~,,,
,,D1,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D2,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D3,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D4,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D5,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D6,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D7,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D8,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D9,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D10,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D11,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D12,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D13,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D14,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D15,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D16,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D17,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D18,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D19,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D20,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D21,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D22,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D23,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D24,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D25,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D26,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D27,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D28,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D29,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D30,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D31,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D32,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D33,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D34,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D35,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D36,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D37,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D38,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D39,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D40,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D41,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D42,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D43,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D44,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D45,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D46,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D47,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D48,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D49,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D50,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D51,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D52,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D53,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D54,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D55,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D56,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D57,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D58,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D59,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D60,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D61,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D62,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D63,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D64,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D65,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D66,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D67,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D68,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D69,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D70,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D71,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D72,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D73,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D74,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D75,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D76,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D77,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D78,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D79,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D80,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D81,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D82,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D83,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D84,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D85,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D86,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D87,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D88,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D89,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D90,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D91,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D92,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D93,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D94,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D95,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D96,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D97,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D98,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D99,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D100,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D101,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D102,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D103,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D104,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D105,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D106,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D107,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D108,WLED,Device:LED,afootprints:5730 LED W,~,,,
,,D109,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D110,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D111,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D112,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D113,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D114,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D115,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D116,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D117,ALED,Device:LED,afootprints:5730 LED A,~,,,
,,D118,ALED,Device:LED,afootprints:5730 LED A,~,,,
